Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Yakety Yak - 2007 Remaster,The Coasters,There's A Riot Goin' On: The Coasters On Atco, 1958,116026,4,0.641,0.834,7,-7.831,1,0.242,0.626,0.000534,0.131,0.849,120.948,53
Break Your Promise - Remastered,The Delfonics,La La Means I Love You, 1968,184506,4,0.333,0.506,7,-7.069,1,0.0299,0.799,0,0.0883,0.522,151.507,42
La-La Means I Love You,The Delfonics,La La Means I Love You, 1968,200906,4,0.365,0.548,2,-7.727,1,0.0288,0.678,0,0.184,0.623,171.242,58
Loving Him (aka You Can't Be Loving Him),The Delfonics,La La Means I Love You (Expanded Version), 1970,123293,4,0.349,0.373,0,-12.267,1,0.0315,0.873,0,0.357,0.559,118.305,14
I'm Sorry,The Delfonics,Love Songs, 1969,167133,4,0.559,0.358,9,-9.544,1,0.0239,0.817,0.00358,0.189,0.641,74.265,16
Hey! Love,The Delfonics,Tell Me This Is a Dream (Expanded Version), 1968,201973,4,0.309,0.508,4,-11.876,0,0.0351,0.483,0.000287,0.174,0.56,135.261,52
Over and Over,The Delfonics,The Delfonics, 1970,186466,3,0.448,0.577,7,-6.669,1,0.0307,0.542,4.29E-06,0.245,0.475,125.95,20
Funny Feeling,The Delfonics,The Delfonics, 1971,143333,4,0.265,0.775,0,-5.524,1,0.0369,0.299,0.0198,0.18,0.802,164.528,26
Trying to Make a Fool of Me,The Delfonics,The Delfonics, 1968,183973,4,0.551,0.723,4,-6.003,1,0.029,0.579,0,0.594,0.733,78.296,28
Didn't I (Blow Your Mind This Time),The Delfonics,The Delfonics, 1969,201066,4,0.484,0.59,9,-6.663,1,0.0283,0.795,0.00306,0.155,0.324,140.588,52
Ready or Not Here I Come (Can't Hide from Love),The Delfonics,The Sound Of Sexy Soul, 1968,119466,4,0.552,0.636,3,-6.215,1,0.0338,0.304,2.32E-05,0.153,0.663,82.884,45
Give Your Baby A Standing Ovation,The Dells,20th Century Masters: The Millennium Collection: Best Of The Dells, 1971,274373,4,0.429,0.764,4,-5.123,1,0.0994,0.367,0,0.504,0.707,137.01,26
"Baby, Open Up Your Heart",The Dells,At Their Very Best, 1972,141873,4,0.427,0.527,8,-9.616,1,0.0476,0.711,0,0.0779,0.862,166.999,1
The Love We Had (Stays On My Mind),The Dells,Freedom Means, 1971,290480,4,0.308,0.369,7,-12.279,1,0.0315,0.42,1.21E-06,0.143,0.269,141.794,33
I Can Sing A Rainbow / Love Is Blue - Single Version,The Dells,"Oh, What A Night! / The Great Ballads", 1969,206533,4,0.283,0.625,2,-8.528,1,0.0472,0.139,0.000749,0.305,0.764,80.689,22
Always Together - Single Version,The Dells,"Oh, What A Night! / The Great Ballads", 1968,186933,4,0.272,0.41,5,-8.237,1,0.0331,0.719,0,0.253,0.49,144.876,26
"Oh, What A Night",The Dells,"Oh, What A Night! / The Great Ballads", 1970,247266,3,0.5,0.543,8,-7.354,1,0.0341,0.103,0,0.0748,0.597,106.291,39
Wear It On Our Face,The Dells,There Is, 1972,205640,4,0.372,0.636,9,-14.092,0,0.0393,0.266,0,0.104,0.743,84.737,22
Run For Cover,The Dells,There Is, 1972,186293,4,0.522,0.498,5,-15.116,1,0.039,0.46,0,0.507,0.923,137.938,27
Stay In My Corner,The Dells,There Is, 1968,373560,3,0.273,0.247,5,-15.021,1,0.0323,0.426,1.29E-05,0.861,0.369,169.451,39
"Love, Love, Love",The Dominoes,Presenting the Dominoes, 1953,189400,4,0.37,0.301,5,-10.183,1,0.0319,0.828,0,0.28,0.275,110.983,0
Rags to Riches,The Dominoes,Presenting the Dominoes, 1955,160840,4,0.237,0.324,5,-7.42,1,0.0315,0.967,1.3E-06,0.0821,0.165,84.838,13
Stardust,The Dominoes,Presenting the Dominoes, 1957,191813,4,0.276,0.384,2,-10.206,1,0.0325,0.788,0,0.135,0.223,74.109,33
